text,value,selected,description,imageSrc
The White,169,,,"""https://assets.wikileaf.com/assets/strains/strain/The-White-Icon.jpg"""
Super Sour Diesel,170,,,"""https://assets.wikileaf.com/assets/strains/strain/Super_Sour_Diesel.png"""
Critical Mass,171,,,"""https://assets.wikileaf.com/assets/strains/strain/Critical-Mass-icon.jpg"""
Key Lime Pie,172,,,"""https://assets.wikileaf.com/assets/strains/strain/Key_Lime_Pie.jpg"""
Banana OG,173,,,"""https://assets.wikileaf.com/assets/strains/strain/Banana_OG.jpg"""
Strawberry Kush,174,,,"""https://assets.wikileaf.com/assets/strains/strain/Strawberry_Kush.jpg"""
Bubblegum Kush,175,,,"""https://assets.wikileaf.com/assets/strains/strain/Bubblegum_Kush.png"""
Dutch Treat,176,,,"""https://assets.wikileaf.com/assets/strains/strain/Dutch-Treat-Icon.jpg"""
Great White Shark,177,,,"""https://assets.wikileaf.com/assets/strains/strain/Great_White_Shark.png"""
Blue Sherbert,178,,,"""https://assets.wikileaf.com/assets/strains/strain/blue-sherbet-icon.png"""
Shishkaberry,179,,,"""https://assets.wikileaf.com/assets/strains/strain/Shishkaberry-icon.png"""
Panama Red,180,,,"""https://assets.wikileaf.com/assets/strains/strain/Panama-Red-icon.png"""
Bordello,181,,,"""https://assets.wikileaf.com/assets/strains/strain/Bordello.jpg"""
Cinderella 99,182,,,"""https://assets.wikileaf.com/assets/strains/strain/1632413140_Cinderella-99-Icon.webp"""
Laughing Buddha,183,,,"""https://assets.wikileaf.com/assets/strains/strain/Laughing_Buddha.jpg"""
Watermelon,184,,,"""https://assets.wikileaf.com/assets/strains/strain/Watermelon.jpg"""
Greek Kalamata,185,,,"""https://assets.wikileaf.com/assets/strains/strain/Greek_Kalamata.png"""
Space Queen,186,,,"""https://assets.wikileaf.com/assets/strains/strain/Space-Queen-Icon.jpg"""
Super Glue,187,,,"""https://assets.wikileaf.com/assets/strains/strain/Super_Glue.jpg"""
Snoop's Dream,188,,,"""https://assets.wikileaf.com/assets/strains/strain/Snoops_Dream.jpg"""
Big Bud,189,,,"""https://assets.wikileaf.com/assets/strains/strain/Big-bud-icon.jpg"""
Chaos Kush,190,,,"""../../../assets/img/strain-types/Indica_500.png"""
White Buffalo,191,,,"""https://assets.wikileaf.com/assets/strains/strain/White_Buffalo.jpg"""
Tiger's Milk,192,,,"""https://assets.wikileaf.com/assets/strains/strain/Tigers_Milk.jpg"""
Vanilla Kush,193,,,"""https://assets.wikileaf.com/assets/strains/strain/Vanilla-Kush-icon.png"""
Banana Split,194,,,"""https://assets.wikileaf.com/assets/strains/strain/Strain-BananaSplit.png"""
White Runtz,195,,,"""../../../assets/img/strain-types/Hybrid_500.png"""
Amnesia,196,,,"""https://assets.wikileaf.com/assets/strains/strain/Amnesia_500x500.png"""
Ice Wreck,197,,,"""https://assets.wikileaf.com/assets/strains/strain/Ice_Wreck.jpg"""
Jean Guy,198,,,"""https://assets.wikileaf.com/assets/strains/strain/Jean_Guy.png"""
Alaskan Ice,199,,,"""https://assets.wikileaf.com/assets/strains/strain/Alaskan-Ice-icon.png"""
Romulan,200,,,"""https://assets.wikileaf.com/assets/strains/strain/1576186688_Romulan-icon.png"""
Crystal Coma,201,,,"""https://assets.wikileaf.com/assets/strains/strain/Crystal_Coma.jpg"""
RudeBoi OG,202,,,"""https://assets.wikileaf.com/assets/strains/strain/rudeboi-og-icon.png"""
London Pound Cake,203,,,"""../../../assets/img/strain-types/Indica_500.png"""
White Gold,204,,,"""https://assets.wikileaf.com/assets/strains/strain/White_Gold.jpg"""
Afgooey,205,,,"""https://assets.wikileaf.com/assets/strains/strain/Afgooey-strain-icon.jpg"""
Tangerine,206,,,"""https://assets.wikileaf.com/assets/strains/strain/Tangerine.jpg"""
Herojuana,207,,,"""https://assets.wikileaf.com/assets/strains/strain/Herojuana.jpg"""
Chronic,208,,,"""https://assets.wikileaf.com/assets/strains/strain/Chronic-icon.png"""
Lavender Haze,209,,,"""https://assets.wikileaf.com/assets/strains/strain/Lavender_Haze.jpg"""
Lemon OG,210,,,"""https://assets.wikileaf.com/assets/strains/strain/Lemon_OG.png"""
Hawaiian Snow,211,,,"""https://assets.wikileaf.com/assets/strains/strain/Hawaiian-Snow-Icon.png"""
Lemon Diesel,212,,,"""https://assets.wikileaf.com/assets/strains/strain/Lemon-Diesel-Icon.png"""
Lucid Blue,213,,,"""https://assets.wikileaf.com/assets/strains/strain/Lucid_Blue.jpg"""
Bakerstreet,214,,,"""https://assets.wikileaf.com/assets/strains/strain/Strain-BakerStreet.png"""
God's Green Crack,215,,,"""https://assets.wikileaf.com/assets/strains/strain/Gods_Green_Crack.jpg"""
Cherry Bomb,216,,,"""https://assets.wikileaf.com/assets/strains/strain/Cherry_Bomb.png"""
Sour Jack,217,,,"""https://assets.wikileaf.com/assets/strains/strain/Sour_Jack.png"""
God Bud,218,,,"""https://assets.wikileaf.com/assets/strains/strain/God_Bud_500x500.png"""
Lemon Cake,219,,,"""https://assets.wikileaf.com/assets/strains/strain/Lemon_Cake.jpg"""
THC Bomb,220,,,"""https://assets.wikileaf.com/assets/strains/strain/THC_Bomb.jpg"""
