,strain,about
130,Flo,https://www.wikileaf.com/strain/flo/
131,Cannatonic,https://www.wikileaf.com/strain/cannatonic/
132,Querkle,https://www.wikileaf.com/strain/querkle/
133,Grapefruit,https://www.wikileaf.com/strain/grapefruit/
134,God's Gift,https://www.wikileaf.com/strain/gods-gift/
135,Clementine,https://www.wikileaf.com/strain/clementine/
136,Pre-98 Bubba Kush,https://www.wikileaf.com/strain/pre-98-bubba-kush/
137,Monster Cookies,https://www.wikileaf.com/strain/monster-cookies/
138,Apollo 13,https://www.wikileaf.com/strain/apollo-13/
139,Black Jack,https://www.wikileaf.com/strain/black-jack/
140,Blue Mystic,https://www.wikileaf.com/strain/blue-mystic/
141,Hash Plant,https://www.wikileaf.com/strain/hash-plant/
142,Lodi Dodi,https://www.wikileaf.com/strain/lodi-dodi/
143,Agent Orange,https://www.wikileaf.com/strain/agent-orange/
144,Cheese,https://www.wikileaf.com/strain/cheese/
145,Super Skunk,https://www.wikileaf.com/strain/super-skunk/
146,Red Dragon,https://www.wikileaf.com/strain/red-dragon/
147,Platinum Girl Scout Cookies,https://www.wikileaf.com/strain/platinum-girl-scout-cookies/
148,Casey Jones,https://www.wikileaf.com/strain/casey-jones/
149,Tangie,https://www.wikileaf.com/strain/tangie/
150,Rosetta Stone,https://www.wikileaf.com/strain/rosetta-stone/
151,Grandpa's Stash,https://www.wikileaf.com/strain/grandpas-stash/
152,Kandy Kush,https://www.wikileaf.com/strain/kandy-kush/
153,Pennywise,https://www.wikileaf.com/strain/pennywise/
154,Star Killer,https://www.wikileaf.com/strain/star-killer/
155,White Cookies,https://www.wikileaf.com/strain/white-cookies/
156,Harlequin,https://www.wikileaf.com/strain/harlequin/
157,Alien Dawg,https://www.wikileaf.com/strain/alien-dawg/
158,Green Line OG,https://www.wikileaf.com/strain/green-line-og/
159,Kush Mint,https://www.wikileaf.com/strain/kush-mint/
160,Private Reserve,https://www.wikileaf.com/strain/private-reserve/
161,Lemon G,https://www.wikileaf.com/strain/lemon-g/
162,Recon,https://www.wikileaf.com/strain/recon/
163,Phantom OG,https://www.wikileaf.com/strain/phantom-og/
164,Orange Kush,https://www.wikileaf.com/strain/orange-kush/
165,Cherry Diesel,https://www.wikileaf.com/strain/cherry-diesel/
166,Champagne Kush,https://www.wikileaf.com/strain/champagne-kush/
167,Chocolope,https://www.wikileaf.com/strain/chocolope/
168,The White,https://www.wikileaf.com/strain/the-white/
169,Super Sour Diesel,https://www.wikileaf.com/strain/super-sour-diesel/
170,Critical Mass,https://www.wikileaf.com/strain/critical-mass/
171,Key Lime Pie,https://www.wikileaf.com/strain/key-lime-pie/
172,Banana OG,https://www.wikileaf.com/strain/banana-og/
173,Strawberry Kush,https://www.wikileaf.com/strain/strawberry-kush/
174,Bubblegum Kush,https://www.wikileaf.com/strain/bubblegum-kush/
175,Dutch Treat,https://www.wikileaf.com/strain/dutch-treat/
176,Great White Shark,https://www.wikileaf.com/strain/great-white-shark/
177,Blue Sherbert,https://www.wikileaf.com/strain/blue-sherbert/
178,Shishkaberry,https://www.wikileaf.com/strain/shishkaberry/
179,Panama Red,https://www.wikileaf.com/strain/panama-red/
180,Bordello,https://www.wikileaf.com/strain/bordello/
181,Cinderella 99,https://www.wikileaf.com/strain/cinderella-99/
182,Laughing Buddha,https://www.wikileaf.com/strain/laughing-buddha/
183,Watermelon,https://www.wikileaf.com/strain/watermelon/
184,Greek Kalamata,https://www.wikileaf.com/strain/greek-kalamata/
185,Space Queen,https://www.wikileaf.com/strain/space-queen/
186,Super Glue,https://www.wikileaf.com/strain/super-glue/
187,Snoop's Dream,https://www.wikileaf.com/strain/snoops-dream/
188,Big Bud,https://www.wikileaf.com/strain/big-bud/
189,Chaos Kush,https://www.wikileaf.com/strain/chaos-kush/
190,White Buffalo,https://www.wikileaf.com/strain/white-buffalo/
191,Tiger's Milk,https://www.wikileaf.com/strain/tigers-milk/
192,Vanilla Kush,https://www.wikileaf.com/strain/vanilla-kush/
193,Banana Split,https://www.wikileaf.com/strain/banana-split/
194,White Runtz,https://www.wikileaf.com/strain/white-runtz/
195,Amnesia,https://www.wikileaf.com/strain/amnesia/
